month,frame,family,n_test,brier,brier_base,skill,base
2019-05,5m,through,9327,0.20739,0.27539,0.2469,0.3303
2019-05,15m,bounce,9327,0.12952,0.14089,0.0807,0.2096
2019-05,15m,through,9327,0.20395,0.24733,0.1754,0.51
2019-05,1h,bounce,9327,0.07923,0.08129,0.0253,0.1198
2019-05,1h,through,9327,0.15528,0.16655,0.0677,0.7172
2019-05,4h,bounce,9327,0.05903,0.05829,-0.0127,0.0705
2019-05,4h,through,9327,0.11112,0.11232,0.0107,0.8429
2019-05,1d,bounce,9327,0.04606,0.04496,-0.0246,0.0446
2019-05,1d,through,9327,0.06181,0.06281,0.0159,0.9115
2019-06,5m,bounce,6525,0.17965,0.19562,0.0816,0.2745
2019-06,5m,through,6525,0.20382,0.23317,0.1259,0.3465
2019-06,15m,bounce,6525,0.13567,0.14332,0.0534,0.2053
2019-06,15m,through,6525,0.2289,0.2474,0.0748,0.523
2019-06,1h,bounce,6525,0.07258,0.07518,0.0345,0.1166
2019-06,1h,through,6525,0.15805,0.17279,0.0853,0.7257
2019-06,4h,bounce,6525,0.03678,0.03836,0.0412,0.0696
2019-06,4h,through,6525,0.09375,0.09701,0.0336,0.8459
2019-06,1d,bounce,6525,0.04439,0.044,-0.0087,0.0449
2019-06,1d,through,6525,0.07691,0.07288,-0.0553,0.9137
2019-07,5m,bounce,3137,0.21371,0.22291,0.0413,0.274
2019-07,5m,through,3137,0.12704,0.16779,0.2428,0.3479
2019-07,15m,bounce,3137,0.1794,0.19495,0.0798,0.2031
2019-07,15m,through,3137,0.2215,0.25759,0.1401,0.526
2019-07,1h,bounce,3137,0.11811,0.12397,0.0473,0.1142
2019-07,1h,through,3137,0.22875,0.24261,0.0571,0.7295
2019-07,4h,bounce,3137,0.05948,0.05888,-0.0102,0.0676
2019-07,4h,through,3137,0.16259,0.15898,-0.0227,0.8491
2019-07,1d,bounce,3137,0.05075,0.04873,-0.0414,0.0449
2019-07,1d,through,3137,0.10985,0.1011,-0.0865,0.9141
2019-08,5m,bounce,3251,0.20964,0.23099,0.0924,0.2756
2019-08,5m,through,3251,0.15094,0.17546,0.1397,0.3419
2019-08,15m,bounce,3251,0.18208,0.19703,0.0759,0.2048
2019-08,15m,through,3251,0.2374,0.25426,0.0663,0.5211
2019-08,1h,bounce,3251,0.12581,0.13235,0.0494,0.1151
2019-08,1h,through,3251,0.22483,0.24438,0.08,0.7265
2019-08,4h,bounce,3251,0.08521,0.08757,0.027,0.0675
2019-08,4h,through,3251,0.16341,0.16929,0.0348,0.8477
2019-08,1d,bounce,3251,0.05375,0.05101,-0.0538,0.0451
2019-08,1d,through,3251,0.0843,0.07973,-0.0574,0.9133
2019-09,5m,bounce,4459,0.20299,0.2183,0.0701,0.2778
2019-09,5m,through,4459,0.20307,0.22499,0.0974,0.3371
2019-09,15m,bounce,4459,0.16353,0.17257,0.0524,0.2066
2019-09,15m,through,4459,0.22969,0.24925,0.0785,0.5177
2019-09,1h,bounce,4459,0.11899,0.11971,0.006,0.1164
2019-09,1h,through,4459,0.20131,0.20136,0.0002,0.7234
2019-09,4h,bounce,4459,0.07202,0.06934,-0.0388,0.0683
2019-09,4h,through,4459,0.14018,0.13266,-0.0567,0.8459
2019-09,1d,bounce,4459,0.03914,0.03856,-0.015,0.0454
2019-09,1d,through,4459,0.07232,0.06943,-0.0415,0.9133
2019-10,5m,bounce,4666,0.18474,0.20269,0.0886,0.2794
2019-10,5m,through,4666,0.18406,0.22535,0.1832,0.3373
2019-10,15m,bounce,4666,0.13844,0.1525,0.0922,0.2072
2019-10,15m,through,4666,0.21161,0.2489,0.1498,0.5182
2019-10,1h,bounce,4666,0.07642,0.07954,0.0392,0.1173
2019-10,1h,through,4666,0.18198,0.19219,0.0531,0.7233
2019-10,4h,bounce,4666,0.04531,0.04465,-0.0148,0.0686
2019-10,4h,through,4666,0.09804,0.09285,-0.0559,0.8458
2019-10,1d,bounce,4666,0.00531,0.00516,-0.0281,0.0452
2019-10,1d,through,4666,0.01685,0.01631,-0.0334,0.9138
2019-11,5m,bounce,3734,0.20267,0.21299,0.0485,0.2795
2019-11,5m,through,3734,0.18749,0.19886,0.0572,0.3375
2019-11,15m,bounce,3734,0.17551,0.18335,0.0427,0.2064
2019-11,15m,through,3734,0.24352,0.25225,0.0346,0.519
2019-11,1h,bounce,3734,0.09694,0.10169,0.0467,0.116
2019-11,1h,through,3734,0.18853,0.19615,0.0389,0.724
2019-11,4h,bounce,3734,0.08643,0.08864,0.0249,0.0677
