depth,combo,cells,extinct
5,coin|etype|zone|hayden_btc|kq,4452,False
5,coin|etype|zone|hayden_btc|uq,4414,False
5,coin|etype|zone|hayden_btc|yd_arch,4342,False
5,coin|etype|zone|hayden_btc|ob55,4292,False
5,coin|etype|zone|hayden_btc|dtype,4332,False
5,coin|etype|zone|hayden_btc|lean,4016,False
5,coin|etype|zone|hayden_btc|scen_state,3571,False
5,coin|etype|zone|hayden_btc|scen_failed,4054,False
5,coin|etype|zone|btc_pi|origin,3728,False
5,coin|etype|zone|btc_pi|tn,3943,False
5,coin|etype|zone|btc_pi|dq,3495,False
5,coin|etype|zone|btc_pi|sq,3834,False
5,coin|etype|zone|btc_pi|vq,4011,False
5,coin|etype|zone|btc_pi|rq,4440,False
5,coin|etype|zone|btc_pi|kq,4502,False
5,coin|etype|zone|btc_pi|uq,4478,False
5,coin|etype|zone|btc_pi|yd_arch,4051,False
5,coin|etype|zone|btc_pi|ob55,3901,False
5,coin|etype|zone|btc_pi|dtype,3827,False
5,coin|etype|zone|btc_pi|lean,4006,False
5,coin|etype|zone|btc_pi|scen_state,3501,False
5,coin|etype|zone|btc_pi|scen_failed,3906,False
5,coin|etype|zone|origin|tn,3939,False
5,coin|etype|zone|origin|dq,2834,False
5,coin|etype|zone|origin|sq,2960,False
5,coin|etype|zone|origin|vq,2785,False
5,coin|etype|zone|origin|rq,3400,False
5,coin|etype|zone|origin|kq,3518,False
5,coin|etype|zone|origin|uq,3373,False
5,coin|etype|zone|origin|yd_arch,3827,False
5,coin|etype|zone|origin|ob55,3306,False
5,coin|etype|zone|origin|dtype,3809,False
5,coin|etype|zone|origin|lean,3467,False
5,coin|etype|zone|origin|scen_state,3164,False
5,coin|etype|zone|origin|scen_failed,3499,False
5,coin|etype|zone|tn|dq,3578,False
5,coin|etype|zone|tn|sq,3422,False
5,coin|etype|zone|tn|vq,3342,False
5,coin|etype|zone|tn|rq,3941,False
5,coin|etype|zone|tn|kq,4006,False
5,coin|etype|zone|tn|uq,4143,False
5,coin|etype|zone|tn|yd_arch,4430,False
5,coin|etype|zone|tn|ob55,3910,False
5,coin|etype|zone|tn|dtype,4460,False
5,coin|etype|zone|tn|lean,4041,False
5,coin|etype|zone|tn|scen_state,3644,False
5,coin|etype|zone|tn|scen_failed,4087,False
5,coin|etype|zone|dq|sq,3171,False
5,coin|etype|zone|dq|vq,2939,False
5,coin|etype|zone|dq|rq,3128,False
5,coin|etype|zone|dq|kq,3070,False
5,coin|etype|zone|dq|uq,3048,False
5,coin|etype|zone|dq|yd_arch,3571,False
5,coin|etype|zone|dq|ob55,3094,False
5,coin|etype|zone|dq|dtype,3654,False
5,coin|etype|zone|dq|lean,3221,False
5,coin|etype|zone|dq|scen_state,2997,False
5,coin|etype|zone|dq|scen_failed,3338,False
5,coin|etype|zone|sq|vq,2959,False
5,coin|etype|zone|sq|rq,2665,False
5,coin|etype|zone|sq|kq,2692,False
5,coin|etype|zone|sq|uq,2621,False
5,coin|etype|zone|sq|yd_arch,3476,False
5,coin|etype|zone|sq|ob55,3078,False
5,coin|etype|zone|sq|dtype,3800,False
5,coin|etype|zone|sq|lean,3234,False
5,coin|etype|zone|sq|scen_state,3180,False
5,coin|etype|zone|sq|scen_failed,3380,False
5,coin|etype|zone|vq|rq,2672,False
5,coin|etype|zone|vq|kq,2495,False
5,coin|etype|zone|vq|uq,2364,False
5,coin|etype|zone|vq|yd_arch,3578,False
5,coin|etype|zone|vq|ob55,3177,False
5,coin|etype|zone|vq|dtype,3934,False
5,coin|etype|zone|vq|lean,3342,False
5,coin|etype|zone|vq|scen_state,3289,False
5,coin|etype|zone|vq|scen_failed,3511,False
5,coin|etype|zone|rq|kq,3247,False
5,coin|etype|zone|rq|uq,3121,False
5,coin|etype|zone|rq|yd_arch,4088,False
5,coin|etype|zone|rq|ob55,3623,False
5,coin|etype|zone|rq|dtype,4465,False
5,coin|etype|zone|rq|lean,3903,False
5,coin|etype|zone|rq|scen_state,3715,False
5,coin|etype|zone|rq|scen_failed,4063,False
5,coin|etype|zone|kq|uq,3278,False
5,coin|etype|zone|kq|yd_arch,4122,False
5,coin|etype|zone|kq|ob55,3720,False
5,coin|etype|zone|kq|dtype,4527,False
5,coin|etype|zone|kq|lean,4074,False
5,coin|etype|zone|kq|scen_state,3836,False
5,coin|etype|zone|kq|scen_failed,4191,False
5,coin|etype|zone|uq|yd_arch,4014,False
5,coin|etype|zone|uq|ob55,3730,False
5,coin|etype|zone|uq|dtype,4467,False
5,coin|etype|zone|uq|lean,3825,False
5,coin|etype|zone|uq|scen_state,3704,False
5,coin|etype|zone|uq|scen_failed,3978,False
5,coin|etype|zone|yd_arch|ob55,4036,False
5,coin|etype|zone|yd_arch|dtype,4408,False
5,coin|etype|zone|yd_arch|lean,4032,False
5,coin|etype|zone|yd_arch|scen_state,3659,False
5,coin|etype|zone|yd_arch|scen_failed,4061,False
5,coin|etype|zone|ob55|dtype,3952,False
5,coin|etype|zone|ob55|lean,4009,False
5,coin|etype|zone|ob55|scen_state,3628,False
5,coin|etype|zone|ob55|scen_failed,3910,False
5,coin|etype|zone|dtype|lean,3735,False
5,coin|etype|zone|dtype|scen_state,3250,False
5,coin|etype|zone|dtype|scen_failed,3628,False
5,coin|etype|zone|lean|scen_state,2910,False
5,coin|etype|zone|lean|scen_failed,3499,False
5,coin|etype|zone|scen_state|scen_failed,3043,False
5,coin|etype|virgin|cb|wq,1227,False
5,coin|etype|virgin|cb|session,2127,False
5,coin|etype|virgin|cb|wknd,1043,False
5,coin|etype|virgin|cb|hayden,1379,False
5,coin|etype|virgin|cb|hayden_btc,1386,False
5,coin|etype|virgin|cb|btc_pi,863,False
5,coin|etype|virgin|cb|origin,2329,False
5,coin|etype|virgin|cb|tn,1297,False
5,coin|etype|virgin|cb|dq,1423,False
5,coin|etype|virgin|cb|sq,1538,False
5,coin|etype|virgin|cb|vq,1537,False
5,coin|etype|virgin|cb|rq,1584,False
5,coin|etype|virgin|cb|kq,1707,False
5,coin|etype|virgin|cb|uq,1721,False
5,coin|etype|virgin|cb|yd_arch,1369,False
5,coin|etype|virgin|cb|ob55,1547,False
5,coin|etype|virgin|cb|dtype,1116,False
5,coin|etype|virgin|cb|lean,1389,False
5,coin|etype|virgin|cb|scen_state,1696,False
5,coin|etype|virgin|cb|scen_failed,1316,False
5,coin|etype|virgin|wq|session,2980,False
5,coin|etype|virgin|wq|wknd,1425,False
5,coin|etype|virgin|wq|hayden,1914,False
5,coin|etype|virgin|wq|hayden_btc,1934,False
5,coin|etype|virgin|wq|btc_pi,1122,False
5,coin|etype|virgin|wq|origin,2706,False
5,coin|etype|virgin|wq|tn,1822,False
5,coin|etype|virgin|wq|dq,1854,False
5,coin|etype|virgin|wq|sq,2108,False
5,coin|etype|virgin|wq|vq,2100,False
5,coin|etype|virgin|wq|rq,2328,False
5,coin|etype|virgin|wq|kq,2419,False
5,coin|etype|virgin|wq|uq,2475,False
5,coin|etype|virgin|wq|yd_arch,1925,False
5,coin|etype|virgin|wq|ob55,2179,False
5,coin|etype|virgin|wq|dtype,1506,False
5,coin|etype|virgin|wq|lean,1891,False
5,coin|etype|virgin|wq|scen_state,2058,False
5,coin|etype|virgin|wq|scen_failed,1823,False
5,coin|etype|virgin|session|wknd,2426,False
5,coin|etype|virgin|session|hayden,3100,False
5,coin|etype|virgin|session|hayden_btc,3146,False
5,coin|etype|virgin|session|btc_pi,1770,False
5,coin|etype|virgin|session|origin,3167,False
5,coin|etype|virgin|session|tn,3051,False
5,coin|etype|virgin|session|dq,3192,False
5,coin|etype|virgin|session|sq,3536,False
5,coin|etype|virgin|session|vq,3638,False
5,coin|etype|virgin|session|rq,3510,False
5,coin|etype|virgin|session|kq,4115,False
5,coin|etype|virgin|session|uq,4144,False
5,coin|etype|virgin|session|yd_arch,3296,False
