month,frame,family,n_test,n_train,brier,brier_base,skill,base
2021-10,5m,through,5446,255623,0.18091,0.18998,0.0477,0.3348
2021-11,5m,bounce,6083,261069,0.20864,0.2204,0.0533,0.2851
2021-11,5m,through,6083,261069,0.17472,0.1883,0.0722,0.3327
2021-12,5m,bounce,4996,267152,0.21605,0.22203,0.027,0.286
2021-12,5m,through,4996,267152,0.14479,0.16565,0.126,0.3304
2022-01,5m,bounce,5701,272148,0.21193,0.22025,0.0378,0.2868
2022-01,5m,through,5701,272148,0.20517,0.21049,0.0253,0.3274
2022-02,5m,bounce,5164,277849,0.27159,0.22832,-0.1895,0.2875
2022-02,5m,through,5164,277849,0.2224,0.19159,-0.1608,0.3268
2022-03,5m,bounce,3871,283013,0.22226,0.21753,-0.0218,0.2885
2022-03,5m,through,3871,283013,0.17508,0.17217,-0.0169,0.3253
2022-04,5m,bounce,4498,286884,0.23833,0.24087,0.0105,0.2889
2022-04,5m,through,4498,286884,0.1459,0.16602,0.1212,0.3235
2022-05,5m,bounce,5520,291382,0.2018,0.19565,-0.0314,0.2902
2022-05,5m,through,5520,291382,0.30044,0.22775,-0.3192,0.3212
2022-06,5m,bounce,4380,296902,0.2342,0.22374,-0.0468,0.2898
2022-06,5m,through,4380,296902,0.19319,0.18417,-0.049,0.3217
2022-07,5m,bounce,5571,301282,0.22986,0.23189,0.0088,0.2904
2022-07,5m,through,5571,301282,0.18995,0.18169,-0.0455,0.3203
2022-08,5m,bounce,4154,306853,0.22936,0.24659,0.0699,0.2915
2022-08,5m,through,4154,306853,0.11725,0.14618,0.1979,0.3185
2022-09,5m,bounce,6689,311007,0.22639,0.22977,0.0147,0.2928
2022-09,5m,through,6689,311007,0.20532,0.19849,-0.0344,0.3159
2022-10,5m,bounce,5445,317696,0.22185,0.22006,-0.0081,0.2939
2022-10,5m,through,5445,317696,0.18867,0.1819,-0.0372,0.3149
2022-11,5m,bounce,7226,323141,0.19676,0.2002,0.0172,0.2945
2022-11,5m,through,7226,323141,0.22633,0.22744,0.0049,0.3133
2022-12,5m,bounce,4579,330367,0.19472,0.20278,0.0397,0.2941
2022-12,5m,through,4579,330367,0.15543,0.20494,0.2416,0.3141
2023-01,5m,bounce,9118,334946,0.19305,0.20093,0.0392,0.2939
2023-01,5m,through,9118,334946,0.21531,0.23498,0.0837,0.3137
2023-02,5m,bounce,4006,344064,0.22635,0.22151,-0.0219,0.2935
2023-02,5m,through,4006,344064,0.15944,0.17488,0.0883,0.3151
2023-03,5m,bounce,7627,348070,0.19326,0.20414,0.0533,0.2939
2023-03,5m,through,7627,348070,0.21188,0.22166,0.0441,0.3138
2023-04,5m,bounce,4273,355697,0.2147,0.21874,0.0185,0.2937
2023-04,5m,through,4273,355697,0.21672,0.20873,-0.0383,0.3142
2023-05,5m,bounce,4080,359970,0.21734,0.22286,0.0248,0.294
2023-05,5m,through,4080,359970,0.14894,0.16487,0.0966,0.3139
2023-06,5m,bounce,5535,364050,0.21922,0.22656,0.0324,0.2944
2023-06,5m,through,5535,364050,0.19256,0.19358,0.0053,0.3124
2023-07,5m,bounce,6815,369585,0.16171,0.18576,0.1295,0.2951
2023-07,5m,through,6815,369585,0.17938,0.27364,0.3445,0.3116
2023-08,5m,bounce,4441,376400,0.21858,0.22076,0.0099,0.2941
2023-08,5m,through,4441,376400,0.21465,0.20408,-0.0518,0.3144
2023-09,5m,bounce,5254,380841,0.20442,0.21541,0.051,0.2945
2023-09,5m,through,5254,380841,0.19062,0.19497,0.0223,0.3141
2023-10,5m,bounce,10146,386095,0.18134,0.18859,0.0385,0.2948
2023-10,5m,through,10146,386095,0.23335,0.25379,0.0805,0.3133
2023-11,5m,bounce,6690,396241,0.19032,0.19862,0.0418,0.2936
2023-11,5m,through,6690,396241,0.20622,0.21345,0.0338,0.316
2023-12,5m,bounce,7470,402931,0.2122,0.22201,0.0442,0.2932
2023-12,5m,through,7470,402931,0.21641,0.20078,-0.0778,0.3158
